Month,Actual_Sales,Predicted_Sales,Error,Absolute_Error,Percentage_Error
2022-01,422168,422549,381,381,0.09
2022-02,440950,445046,4096,4096,0.93
2022-03,420583,425909,5326,5326,1.27
2022-04,446407,448739,2332,2332,0.52
2022-05,437928,425533,-12395,12395,-2.83
2022-06,447522,441274,-6248,6248,-1.4
2022-07,462346,467458,5112,5112,1.11
2022-08,424043,426854,2811,2811,0.66
2022-09,430670,439599,8929,8929,2.07
2022-10,398805,396304,-2501,2501,-0.63
2022-11,432988,428711,-4277,4277,-0.99
2022-12,377810,387497,9687,9687,2.56
2023-01,422232,416949,-5283,5283,-1.25
2023-02,415116,421312,6196,6196,1.49
2023-03,497928,504425,6497,6497,1.3
2023-04,461465,455502,-5963,5963,-1.29
2023-05,430867,428602,-2265,2265,-0.53
2023-06,496608,496415,-193,193,-0.04
2023-07,450396,442478,-7918,7918,-1.76
2023-08,388129,390226,2097,2097,0.54
2023-09,418050,410600,-7450,7450,-1.78
2023-10,391681,390919,-762,762,-0.19
2023-11,446468,449985,3517,3517,0.79
2023-12,469659,459510,-10149,10149,-2.16
2024-01,419857,421977,2120,2120,0.5
2024-02,428427,426413,-2014,2014,-0.47
2024-03,474624,483397,8773,8773,1.85
2024-04,483746,491532,7786,7786,1.61
2024-05,474570,475789,1219,1219,0.26
2024-06,439205,438927,-278,278,-0.06
2024-07,464703,459651,-5052,5052,-1.09
2024-08,425198,436606,11408,11408,2.68
2024-09,439764,437217,-2547,2547,-0.58
2024-10,393438,390877,-2561,2561,-0.65
2024-11,415797,418129,2332,2332,0.56
2024-12,495158,482428,-12730,12730,-2.57
2025-01,512045,507962,-4083,4083,-0.8
2025-02,499755,506896,7141,7141,1.43
2025-03,526323,515614,-10709,10709,-2.03
2025-04,559880,542186,-17694,17694,-3.16
2025-05,557532,557554,22,22,0.0
2025-06,454110,459920,5810,5810,1.28
2025-07,459550,467120,7570,7570,1.65
2025-08,482627,467345,-15282,15282,-3.17
2025-09,443831,445270,1439,1439,0.32
2025-10,487720,492975,5255,5255,1.08
2025-11,458423,456620,-1803,1803,-0.39
2025-12,489068,502042,12974,12974,2.65
2026-01,483898,490074,6176,6176,1.28
2026-02,566383,552588,-13795,13795,-2.44
2026-03,515212,507388,-7824,7824,-1.52
2026-04,549585,562669,13084,13084,2.38
2026-05,540465,551609,11144,11144,2.06
