Month,Forecast_Sales,Target_Sales,Lower_Bound,Upper_Bound,open_deals,territory_potential,close_rate,past_sales_lag1,past_sales_rolling3
2026-06,564744,762405,557030,572989,36.69,1.0,0.33,552763.8,531226.53
2026-07,554443,748499,546683,562759,36.68,0.99,0.33,552763.8,531226.53
2026-08,534797,721976,526546,543146,36.39,1.0,0.33,552763.8,531226.53
2026-09,524746,708407,517995,533291,36.73,1.0,0.33,552763.8,531226.53
2026-10,539074,727750,531456,546783,36.04,1.0,0.33,552763.8,531226.53
2026-11,565913,763983,558534,574164,35.86,1.0,0.33,552763.8,531226.53
2026-12,555388,749773,548522,563053,36.62,0.99,0.33,552763.8,531226.53
2027-01,559191,754907,551646,567185,36.03,1.0,0.33,552763.8,531226.53
2027-02,591776,798897,583519,598290,36.38,1.0,0.33,552763.8,531226.53
2027-03,572682,773120,564973,580911,35.78,1.0,0.33,552763.8,531226.53
2027-04,558950,754583,551466,565922,36.92,1.0,0.33,552763.8,531226.53
2027-05,557512,752641,550310,566618,37.15,0.98,0.33,552763.8,531226.53
