Month,Actual_Sales,Predicted_Sales,Error,Absolute_Error,Percentage_Error
2022-01,422168,422138,-30,30,-0.01
2022-02,440950,437053,-3897,3897,-0.88
2022-03,420583,426553,5970,5970,1.42
2022-04,446407,451707,5300,5300,1.19
2022-05,437928,430274,-7654,7654,-1.75
2022-06,447522,437947,-9575,9575,-2.14
2022-07,462346,466790,4444,4444,0.96
2022-08,424043,426569,2526,2526,0.6
2022-09,430670,439339,8669,8669,2.01
2022-10,398805,394774,-4031,4031,-1.01
2022-11,432988,430139,-2849,2849,-0.66
2022-12,377810,386462,8652,8652,2.29
2023-01,422232,419501,-2731,2731,-0.65
2023-02,415116,415151,35,35,0.01
2023-03,497928,500483,2555,2555,0.51
2023-04,461465,460569,-896,896,-0.19
2023-05,430867,432412,1545,1545,0.36
2023-06,496608,498127,1519,1519,0.31
2023-07,450396,441753,-8643,8643,-1.92
2023-08,388129,390777,2648,2648,0.68
2023-09,418050,411926,-6124,6124,-1.46
2023-10,391681,392179,498,498,0.13
2023-11,446468,450838,4370,4370,0.98
2023-12,469659,463212,-6447,6447,-1.37
2024-01,419857,421315,1458,1458,0.35
2024-02,428427,423006,-5421,5421,-1.27
2024-03,474624,482840,8216,8216,1.73
2024-04,483746,491738,7992,7992,1.65
2024-05,474570,478186,3616,3616,0.76
2024-06,439205,441779,2574,2574,0.59
2024-07,464703,458961,-5742,5742,-1.24
2024-08,425198,436823,11625,11625,2.73
2024-09,439764,437016,-2748,2748,-0.62
2024-10,393438,388080,-5358,5358,-1.36
2024-11,415797,416594,797,797,0.19
2024-12,495158,484916,-10242,10242,-2.07
2025-01,512045,506382,-5663,5663,-1.11
2025-02,499755,506659,6904,6904,1.38
2025-03,526323,514029,-12294,12294,-2.34
2025-04,559880,548652,-11228,11228,-2.01
2025-05,557532,559236,1704,1704,0.31
2025-06,454110,458441,4331,4331,0.95
2025-07,459550,469064,9514,9514,2.07
2025-08,482627,467156,-15471,15471,-3.21
2025-09,443831,444705,874,874,0.2
2025-10,487720,495972,8252,8252,1.69
2025-11,458423,456319,-2104,2104,-0.46
2025-12,489068,497418,8350,8350,1.71
2026-01,483898,490591,6693,6693,1.38
2026-02,566383,567999,1616,1616,0.29
2026-03,515212,512596,-2616,2616,-0.51
