Month,Forecast_Sales,Target_Sales,Lower_Bound,Upper_Bound,open_deals,territory_potential,close_rate,past_sales_lag1,past_sales_rolling3
2026-05,547173,738683,540434,553984,35.48,1.0,0.33,540367.05,526006.07
2026-06,571298,771252,563846,578448,36.29,1.0,0.33,540367.05,526006.07
2026-07,546913,738332,539527,554609,35.67,1.0,0.33,540367.05,526006.07
2026-08,535124,722417,526861,541738,35.35,0.99,0.33,540367.05,526006.07
2026-09,522460,705321,515191,530307,35.99,0.99,0.33,540367.05,526006.07
2026-10,532741,719200,525991,540183,35.9,0.98,0.33,540367.05,526006.07
2026-11,561473,757988,555122,569743,35.88,1.0,0.33,540367.05,526006.07
2026-12,541941,731620,534346,549224,36.29,1.0,0.32,540367.05,526006.07
2027-01,555162,749469,547709,562120,35.98,0.98,0.33,540367.05,526006.07
2027-02,549687,742078,542385,557112,36.21,1.0,0.33,540367.05,526006.07
2027-03,546583,737886,538168,554061,35.49,1.0,0.32,540367.05,526006.07
2027-04,490513,662192,484685,497732,35.4,1.0,0.33,540367.05,526006.07
