period_end_date,target_forecast,past_sales,open_deals,avg_deal_size,territory_potential,close_rate
2022-01-31,404741,422168,32,46670,0.8457,0.3344
2022-02-28,451959,440950,36,47819,0.8441,0.3059
2022-03-31,404524,420583,31,47776,0.8467,0.335
2022-04-30,435223,446407,37,45728,0.8889,0.3137
2022-05-31,435619,437928,38,44218,0.963,0.3085
2022-06-30,423165,447522,37,46028,0.9716,0.3104
2022-07-31,488179,462346,41,42905,0.9072,0.3095
2022-08-31,420997,424043,37,43325,0.9083,0.3137
2022-09-30,418203,430670,37,43027,0.7719,0.3198
2022-10-31,383723,398805,32,46831,0.8538,0.314
2022-11-30,438074,432988,31,50162,0.9178,0.3288
2022-12-31,369890,377810,33,44768,0.9424,0.3068
2023-01-31,411132,422232,32,49733,0.8904,0.3127
2023-02-28,439369,415116,32,49713,0.9581,0.3085
2023-03-31,510288,497928,43,43845,1.0,0.3104
2023-04-30,440193,461465,37,44539,1.0,0.3287
2023-05-31,421094,430867,34,46689,1.0,0.3239
2023-06-30,494952,496608,36,49232,0.9322,0.3273
2023-07-31,465041,450396,32,50381,0.8623,0.3268
2023-08-31,369866,388129,30,47991,0.897,0.3207
2023-09-30,438495,418050,32,47291,0.7937,0.3244
2023-10-31,371798,391681,29,50930,0.8247,0.3171
2023-11-30,453615,446468,33,52491,0.8444,0.3092
2023-12-31,471876,469659,36,46833,0.9784,0.3297
2024-01-31,406149,419857,31,48055,1.0,0.3327
2024-02-29,428979,428427,29,52542,0.9811,0.3302
2024-03-31,499849,474624,39,46833,1.0,0.3111
2024-04-30,511132,483746,35,51677,1.0,0.3206
2024-05-31,462317,474570,36,50220,1.0,0.3121
2024-06-30,427538,439205,32,50448,0.9187,0.3235
2024-07-31,491784,464703,37,47742,1.0,0.3117
2024-08-31,436842,425198,29,52935,0.8922,0.3255
2024-09-30,418142,439764,31,52083,0.8907,0.3242
2024-10-31,397729,393438,30,48617,0.9669,0.3143
2024-11-30,423040,415797,31,51469,0.9532,0.3045
2024-12-31,473619,495158,35,50626,0.8928,0.3261
2025-01-31,497171,512045,36,55268,0.966,0.3076
2025-02-28,484273,499755,34,52382,1.0,0.3302
2025-03-31,516156,526323,34,55453,0.988,0.3327
2025-04-30,578683,559880,36,55622,1.0,0.3272
2025-05-31,564652,557532,43,49648,1.0,0.3067
2025-06-30,435626,454110,32,54053,0.9539,0.3072
2025-07-31,471250,459550,31,54151,1.0,0.3261
2025-08-31,502852,482627,33,55150,0.9308,0.3144
2025-09-30,431325,443831,33,49780,0.9842,0.3222
2025-10-31,495395,487720,33,52519,0.8996,0.3351
2025-11-30,441658,458423,31,54277,1.0,0.3201
2025-12-31,470118,489068,37,49713,1.0,0.313
2026-01-31,455761,483898,30,57584,1.0,0.3345
2026-02-28,590375,566383,36,58217,1.0,0.3177
2026-03-31,494778,515212,34,57417,1.0,0.3163
